,income_id,date_received,amount,source,notes,link_to_member
0,rec0s9ZrO15zhzUeE,2019-10-17,50,Dues,,reccW7q1KkhSKZsea
1,rec7f5XMQZexgtQJo,2019-09-04,50,Dues,,recTjHY5xXhvkCdVT
2,rec8BUJa8GXUjiglg,2019-10-08,50,Dues,,recUdRhbhcEO1Hk5r
3,rec8V9BPNIoewWt2z,2019-10-02,50,Dues,,rec3pH4DxMcWHMRB7
4,recCRWMfFqifuKMc6,2019-09-18,50,Dues,,rec28ORZgcm1dtqBZ
5,recMCFQxAiJXxrbsG,2019-10-31,50,Dues,,recZN8afUWlE5fZHG
6,recMFy9sJHhuPZ4cz,2019-09-25,50,Dues,,recjHj4BS5A541n9v
7,recN3WFwGR0c17xe2,2019-09-14,200,Fundraising,Secured donations to help pay for speaker gifts.,
8,recOo362sJrXFv2az,2019-09-25,50,Dues,,recL94zpn6Xh6kQii
9,recPG7h3YcEJpddEW,2019-09-16,50,Dues,,recro8T1MPMwRadVH
10,recQbFmQX2KuVppds,2019-09-29,50,Dues,,recQaxyXBQG5BBtD0
11,recSOleKmRLKSGUxk,2019-09-08,50,Dues,,recf4UKTfipCzgcSA
12,recUFwEienSiuGvVC,2019-09-21,50,Dues,,recEFd8s6pkrTt4Pz
13,recVPX6dYgYBJHMhL,2019-10-24,50,Dues,,reccSUPwy30AeZLEb
14,recXFdA0P6QkxSqg8,2019-09-18,50,Dues,,recP6DJPyi5donvXL
15,recbCZLKaq6fihDEu,2019-09-27,50,Dues,,recxBj3tjKTGHqucS
16,recbQzf35tUvQBCbc,2019-09-24,50,Dues,,recEymrwCUKxiiosI
17,reccMyjWLJhKIWSeJ,2019-09-25,50,Dues,,recttfySfQnYb68u3
18,recenMwUQktMpDTQc,2019-09-01,3000,School Appropration,Annual funding from Student Government.,
19,rech1nxcukSGGnyJC,2019-10-10,50,Dues,,recuSfhAZIlKba4s2
20,rechQXnBZCeVcoQuo,2019-10-14,50,Dues,,recJMazpPVexyFYTc
21,reciGUKgh5pDSQODm,2019-10-31,50,Dues,,rec4O9rmGnLx3j8vt
22,recihQPJWBjlTlS5i,2019-10-13,50,Dues,,recVsoJJHFI8bgtfw
23,recka3W3hlDj92QZY,2019-09-09,50,Dues,,rec4BLdZHS2Blfp4v
24,recmJAim3kpGlGDgp,2019-09-09,50,Dues,,rec75vvFxgYtHmqxY
25,recmUxQVGCGs6NLV4,2019-09-11,50,Dues,,rec280Sk7o31iG0Tx
26,recms6rgtCkMIYg1A,2019-09-22,50,Dues,,recD078PnS3x2doBe
27,reco9QqFb4mD5TRcW,2019-09-23,50,Dues,,rec4BLdZHS2Blfp4v
28,recpLlf3mXQn3oGdj,2019-10-31,50,Dues,,rec1x5zBFIqoOuPW8
29,recphAFPbyclQY63d,2019-10-05,1000,Sponsorship,Ad revenue for use on flyers used to advertise upcoming events.,
30,recpiEFskUe0ccvmq,2019-09-25,50,Dues,,recWh2lJVOT6HjChK
31,recqHWeEomHX3ytUe,2019-10-04,50,Dues,,recsTO4OZIF9rbubk
32,recuH1QWNo5JMi2uc,2019-09-28,50,Dues,,recL4aEZBZoPk9NYx
33,recudPRjARER5Nt9B,2019-09-06,50,Dues,,recT92PyyZCGq1R68
34,recveMvTiFV83rb8t,2019-09-13,50,Dues,,recZ4PkGERzl9ziHO
35,reczYkzM4iPYdi8rh,2019-09-12,50,Dues,,rec3pH4DxMcWHMRB7
