,major_id,major_name,department,college
0,rec06DF6vZ1CyPKpc,Outdoor Product Design and Development,"School of Applied Sciences, Technology and Education",College of Agriculture and Applied Sciences
1,rec09LedkREyskCNv,Agricultural Communication,"School of Applied Sciences, Technology and Education",College of Agriculture and Applied Sciences
2,rec0Eanv576RhQllI,Fisheries and Aquatic Sciences,Watershed Sciences Department,College of Natural Resources
3,rec0xRZtkzxrg8kj2,Finance,Economics and Finance Department,School of Business
4,rec1N0upiVLy5esTO,Forest Ecology and Management,Wildland Resources Department,College of Natural Resources
5,rec1SiX2nFrkbTleH,Biological Engineering,Biological Engineering Department,College of Engineering
6,rec2joRXA5HOSHE9a,Ornamental Horticulture Certificate,"Plants, Soils, and Climate Department",College of Agriculture and Applied Sciences
7,rec3pZhvStMoNbVgy,Religious Studies,Religious Studies Program,College of Humanities and Social Sciences
8,rec42NIsgijDV6aDE,Statistics,Mathematics and Statistics Department,College of Science
9,rec6OKJlX4eg3hOLe,Journalism,Journalism and Communication Department,College of Humanities and Social Sciences
10,rec6RbGBAHBphB4hi,Physics,Physics Department,College of Science
11,rec6bKTSnOJAPwoXV,Food Science,"Nutrition, Dietetics, and Food Sciences Department",College of Agriculture and Applied Sciences
12,rec6pV6OC0wUsKqVE,Mathematics,Mathematics and Statistics Department,College of Science
13,rec7BxKpjJ7bNph3O,Electrical Engineering,Electrical and Computer Engineering Department,College of Engineering
14,rec7SRmmw3oovHndK,IT Support and Web Development,"School of Applied Sciences, Technology and Education",College of Agriculture and Applied Sciences
15,rec7cbnokibXaZtvG,Recreation Resource Management,Environment and Society Department,College of Natural Resources
16,rec82ISExRNqaHDV5,Political Science,Political Science Department,College of Humanities and Social Sciences
17,rec8TIqmun4d5vsvN,Spanish,"Languages, Philosophy and Communication Studies Department",College of Humanities and Social Sciences
18,rec8UcO67UAV7r4dm,Psychology,Psychology Department,College of Education & Human Services
19,rec992Uc4l83hn3pt,Special Education,Special Education and Rehabilitation Counseling Department,College of Education & Human Services
20,rec9CqGCGV8Y8rOSY,Communication Studies,"Languages, Philosophy and Communication Studies Department",College of Humanities and Social Sciences
21,recAD6I6ibHrl7adL,Economics,Economics and Finance Department,School of Business
22,recAiT3yTABWypvHu,Communicative Disorders and Deaf Education,Communicative Disorders and Deaf Education Department,College of Education & Human Services
23,recAw85gcxVK8RMZO,Rangeland Ecology and Management,Wildland Resources Department,College of Natural Resources
24,recB3VldnYdFtttTk,Family and Consumer Sciences Education,"School of Applied Sciences, Technology and Education",College of Agriculture and Applied Sciences
25,recCk8lCDOTRp6rKN,Liberal Arts,Liberal Arts Program,College of Humanities and Social Sciences
26,recD9vtbIsiVEttcY,Geology,Geosciences Department,College of Science
27,recE5U2qZOYMmmnKZ,Public Health,Biology Department,College of Science
28,recFQ1RMc4EjTQFOi,Applied Economics,Applied Economics Department,College of Agriculture and Applied Sciences
29,recFmin5MqRH5YC7m,Global Communication,"Languages, Philosophy and Communication Studies Department",College of Humanities and Social Sciences
30,recGPf6UFxy74OaMm,Surgical Technician,"School of Applied Sciences, Technology and Education",College of Agriculture and Applied Sciences
31,recGvuGMS6k5vjnst,Philosophy,"Languages, Philosophy and Communication Studies Department",College of Humanities and Social Sciences
32,recHFi73pgI8aVynn,Chemistry Teaching,Chemistry and Biochemistry Department,College of Science
33,recHeH8VnZFNzXJtX,Secondary Education,School of Teacher Education and Leadership,College of Education & Human Services
34,recHup28qecJwClk3,Agricultural Machinery Technology,"School of Applied Sciences, Technology and Education",College of Agriculture and Applied Sciences
35,recIn8odwOmxEgrBl,"Animal, Dairy, and Veterinary Sciences","Animal, Dairy, and Veterinary Sciences Department",College of Agriculture and Applied Sciences
36,recIzqYuV3wMONTgB,Interior Design,Art and Design Department,College of the Arts
37,recKJHO1P6ZC5m567,Human Development and Family Studies,Human Development and Family Studies Department,College of Education & Human Services
38,recM49P8HxZMoyJZu,Agricultural Systems Technology,"School of Applied Sciences, Technology and Education",College of Agriculture and Applied Sciences
39,recMJbXLYbn5hYxOn,Theatre Arts,Theatre Arts Department,College of the Arts
40,recN5yKqt1dXfnOCm,Management and Restoration of Aquatic Ecosystems,Watershed Sciences Department,College of Natural Resources
41,recNKOKITR4tsq9JP,RN to BSN Completion Program,Nursing and Health Professions,College of Education & Human Services
