,zip_code,type,city,county,state,short_state
0,501,Unique,Holtsville,Suffolk County,New York,NY
1,544,Unique,Holtsville,Suffolk County,New York,NY
2,601,Standard,Adjuntas,Adjuntas Municipio,Puerto Rico,PR
3,602,Standard,Aguada,Aguada Municipio,Puerto Rico,PR
4,603,Standard,Aguadilla,Aguadilla Municipio,Puerto Rico,PR
5,604,PO Box,Aguadilla,,Puerto Rico,PR
6,605,PO Box,Aguadilla,,Puerto Rico,PR
7,606,Standard,Maricao,Maricao Municipio,Puerto Rico,PR
8,610,Standard,Anasco,Anasco Municipio,Puerto Rico,PR
9,611,PO Box,Angeles,,Puerto Rico,PR
10,612,Standard,Arecibo,Arecibo Municipio,Puerto Rico,PR
11,613,PO Box,Arecibo,,Puerto Rico,PR
12,614,PO Box,Arecibo,,Puerto Rico,PR
13,616,Standard,Bajadero,Arecibo Municipio,Puerto Rico,PR
14,617,Standard,Barceloneta,Barceloneta Municipio,Puerto Rico,PR
15,622,Standard,Boqueron,Cabo Rojo Municipio,Puerto Rico,PR
16,623,Standard,Cabo Rojo,Cabo Rojo Municipio,Puerto Rico,PR
17,624,Standard,Penuelas,Penuelas Municipio,Puerto Rico,PR
18,627,Standard,Camuy,Camuy Municipio,Puerto Rico,PR
19,631,PO Box,Castaner,Lares Municipio,Puerto Rico,PR
20,636,PO Box,Rosario,,Puerto Rico,PR
21,637,Standard,Sabana Grande,Sabana Grande Municipio,Puerto Rico,PR
22,638,Standard,Ciales,Ciales Municipio,Puerto Rico,PR
23,641,Standard,Utuado,Utuado Municipio,Puerto Rico,PR
24,646,Standard,Dorado,Dorado Municipio,Puerto Rico,PR
25,647,Standard,Ensenada,Guanica Municipio,Puerto Rico,PR
26,650,Standard,Florida,Florida Municipio,Puerto Rico,PR
27,652,Standard,Garrochales,Arecibo Municipio,Puerto Rico,PR
28,653,Standard,Guanica,Guanica Municipio,Puerto Rico,PR
29,656,Standard,Guayanilla,Guayanilla Municipio,Puerto Rico,PR
30,659,Standard,Hatillo,Hatillo Municipio,Puerto Rico,PR
31,660,Standard,Hormigueros,Hormigueros Municipio,Puerto Rico,PR
32,662,Standard,Isabela,Isabela Municipio,Puerto Rico,PR
33,664,Standard,Jayuya,Jayuya Municipio,Puerto Rico,PR
34,667,Standard,Lajas,Lajas Municipio,Puerto Rico,PR
35,669,Standard,Lares,Lares Municipio,Puerto Rico,PR
36,670,Standard,Las Marias,Las Marias Municipio,Puerto Rico,PR
37,674,Standard,Manati,Manati Municipio,Puerto Rico,PR
38,676,Standard,Moca,Moca Municipio,Puerto Rico,PR
39,677,Standard,Rincon,Rincon Municipio,Puerto Rico,PR
40,678,Standard,Quebradillas,Quebradillas Municipio,Puerto Rico,PR
41,680,Standard,Mayaguez,Mayaguez Municipio,Puerto Rico,PR
42,681,PO Box,Mayaguez,,Puerto Rico,PR
43,682,Standard,Mayaguez,Mayaguez Municipio,Puerto Rico,PR
44,683,Standard,San German,San German Municipio,Puerto Rico,PR
45,685,Standard,San Sebastian,San Sebastian Municipio,Puerto Rico,PR
46,687,Standard,Morovis,Morovis Municipio,Puerto Rico,PR
47,688,Standard,Sabana Hoyos,Arecibo Municipio,Puerto Rico,PR
48,690,Standard,San Antonio,Aguadilla Municipio,Puerto Rico,PR
49,692,Standard,Vega Alta,Vega Alta Municipio,Puerto Rico,PR
50,693,Standard,Vega Baja,Vega Baja Municipio,Puerto Rico,PR
51,694,PO Box,Vega Baja,Vega Baja Municipio,Puerto Rico,PR
52,698,Standard,Yauco,Yauco Municipio,Puerto Rico,PR
53,703,Standard,Aguas Buenas,Aguas Buenas Municipio,Puerto Rico,PR
54,704,Standard,Aguirre,Salinas Municipio,Puerto Rico,PR
55,705,Standard,Aibonito,Aibonito Municipio,Puerto Rico,PR
56,707,Standard,Maunabo,Maunabo Municipio,Puerto Rico,PR
57,714,Standard,Arroyo,Arroyo Municipio,Puerto Rico,PR
58,715,Standard,Mercedita,Ponce Municipio,Puerto Rico,PR
59,716,Standard,Ponce,Ponce Municipio,Puerto Rico,PR
60,717,Standard,Ponce,Ponce Municipio,Puerto Rico,PR
61,718,Standard,Naguabo,Naguabo Municipio,Puerto Rico,PR
62,719,Standard,Naranjito,Naranjito Municipio,Puerto Rico,PR
63,720,Standard,Orocovis,Orocovis Municipio,Puerto Rico,PR
64,721,PO Box,Palmer,,Puerto Rico,PR
65,723,Standard,Patillas,Patillas Municipio,Puerto Rico,PR
66,725,Standard,Caguas,Caguas Municipio,Puerto Rico,PR
67,726,PO Box,Caguas,,Puerto Rico,PR
68,727,Standard,Caguas,Caguas Municipio,Puerto Rico,PR
69,728,Standard,Ponce,Ponce Municipio,Puerto Rico,PR
70,729,Standard,Canovanas,Canovanas Municipio,Puerto Rico,PR
71,730,Standard,Ponce,Ponce Municipio,Puerto Rico,PR
72,731,Standard,Ponce,Ponce Municipio,Puerto Rico,PR
73,732,PO Box,Ponce,,Puerto Rico,PR
74,733,PO Box,Ponce,,Puerto Rico,PR
75,734,PO Box,Ponce,,Puerto Rico,PR
76,735,Standard,Ceiba,Ceiba Municipio,Puerto Rico,PR
77,736,Standard,Cayey,Cayey Municipio,Puerto Rico,PR
78,737,PO Box,Cayey,,Puerto Rico,PR
79,738,Standard,Fajardo,Fajardo Municipio,Puerto Rico,PR
80,739,Standard,Cidra,Cidra Municipio,Puerto Rico,PR
81,740,Standard,Puerto Real,Fajardo Municipio,Puerto Rico,PR
82,741,Standard,Punta Santiago,Humacao Municipio,Puerto Rico,PR
83,742,PO Box,Roosevelt Roads,,Puerto Rico,PR
84,744,PO Box,Rio Blanco,,Puerto Rico,PR
85,745,Standard,Rio Grande,Rio Grande Municipio,Puerto Rico,PR
86,751,Standard,Salinas,Salinas Municipio,Puerto Rico,PR
87,754,Standard,San Lorenzo,San Lorenzo Municipio,Puerto Rico,PR
88,757,Standard,Santa Isabel,Santa Isabel Municipio,Puerto Rico,PR
89,765,Standard,Vieques,Vieques Municipio,Puerto Rico,PR
90,766,Standard,Villalba,Villalba Municipio,Puerto Rico,PR
91,767,Standard,Yabucoa,Yabucoa Municipio,Puerto Rico,PR
92,769,Standard,Coamo,Coamo Municipio,Puerto Rico,PR
93,771,Standard,Las Piedras,Las Piedras Municipio,Puerto Rico,PR
94,772,Standard,Loiza,Loiza Municipio,Puerto Rico,PR
95,773,Standard,Luquillo,Luquillo Municipio,Puerto Rico,PR
96,775,PO Box,Culebra,Culebra Municipio,Puerto Rico,PR
97,777,Standard,Juncos,Juncos Municipio,Puerto Rico,PR
98,778,Standard,Gurabo,Gurabo Municipio,Puerto Rico,PR
99,780,Standard,Coto Laurel,Ponce Municipio,Puerto Rico,PR
100,782,Standard,Comerio,Comerio Municipio,Puerto Rico,PR
101,783,Standard,Corozal,Corozal Municipio,Puerto Rico,PR
102,784,Standard,Guayama,Guayama Municipio,Puerto Rico,PR
103,785,PO Box,Guayama,,Puerto Rico,PR
104,786,PO Box,La Plata,Aibonito Municipio,Puerto Rico,PR
105,791,Standard,Humacao,Humacao Municipio,Puerto Rico,PR
106,792,PO Box,Humacao,,Puerto Rico,PR
107,794,Standard,Barranquitas,Barranquitas Municipio,Puerto Rico,PR
108,795,Standard,Juana Diaz,Juana Diaz Municipio,Puerto Rico,PR
109,901,Standard,San Juan,San Juan Municipio,Puerto Rico,PR
110,902,PO Box,San Juan,,Puerto Rico,PR
111,906,PO Box,San Juan,San Juan Municipio,Puerto Rico,PR
